,exact,entropy,oneDisagree,divCount,divAns
COCO_train2014_000000016531.jpg,1,0.0,1,1,{'yes': 5}
COCO_train2014_000000020742.jpg,0,0.3109175070825711,1,2,"{'wooden bench': 1, 'bench': 4}"
COCO_train2014_000000023702.jpg,0,0.3109175070825711,1,2,"{'water aid humphrey camel': 1, 'water aid': 4}"
COCO_train2014_000000024428.jpg,0,1.0,0,5,"{'for lunch': 1, 'to carry it': 1, 'no pockets': 1, 'save it': 1, 'unanswerable': 1}"
COCO_train2014_000000029817.jpg,0,0.5904362833084088,0,3,"{'brown': 3, 'brown white and tan': 1, 'neutral earthtones': 1}"
COCO_train2014_000000030023.jpg,1,0.0,1,1,{'2': 5}
COCO_train2014_000000033828.jpg,1,0.0,1,1,{'pink': 5}
COCO_train2014_000000046023.jpg,0,0.3109175070825711,1,2,"{'birthday': 1, 'yes': 4}"
COCO_train2014_000000047074.jpg,1,0.0,1,1,{'yes': 5}
COCO_train2014_000000051268.jpg,0,0.6554587535412856,0,3,"{'ham': 2, 'beef': 1, 'roast beef': 2}"
COCO_train2014_000000057016.jpg,0,0.3109175070825711,1,2,"{'yes': 4, 'no': 1}"
COCO_train2014_000000070985.jpg,0,1.0,0,5,"{'frisbee': 1, 'it is moving': 1, 'moving': 1, 'moving fast': 1, 'its moving': 1}"
COCO_train2014_000000072947.jpg,0,1.0,0,5,"{'man in green and black shirt': 1, 'man on left': 1, 'man in green shirt': 1, 'man with green vest on': 1, 'guy in green': 1}"
COCO_train2014_000000073302.jpg,1,0.0,1,1,{'green': 5}
COCO_train2014_000000073461.jpg,1,0.0,1,1,{'crow': 5}
COCO_train2014_000000078077.jpg,0,0.3109175070825711,1,2,"{'no': 4, 'yes': 1}"
COCO_train2014_000000082759.jpg,0,0.8277293767706427,0,4,"{'it is tan': 1, 'tan': 2, 'khaki': 1, 'beige': 1}"
COCO_train2014_000000090290.jpg,0,0.8277293767706427,0,4,"{'tiles': 1, 'clean': 2, 'it is tile': 1, 'unanswerable': 1}"
COCO_train2014_000000093826.jpg,1,0.0,1,1,{'surfing': 5}
COCO_train2014_000000103166.jpg,1,0.0,1,1,{'no': 5}
COCO_train2014_000000115005.jpg,0,1.0,0,5,"{'to perform more work': 1, 'different applications running': 1, 'unanswerable': 1, 'there are 3 monitors': 1, 'different tasks': 1}"
COCO_train2014_000000139075.jpg,0,0.3109175070825711,1,2,"{'shrimp': 4, 'broccoli': 1}"
COCO_train2014_000000141554.jpg,0,0.3109175070825711,1,2,"{'no': 4, 'yes': 1}"
COCO_train2014_000000141922.jpg,0,0.5904362833084088,0,3,"{'no image is dicolored': 1, 'no': 3, 'unanswerable': 1}"
COCO_train2014_000000148144.jpg,0,0.5904362833084088,0,3,"{'evening': 3, 'dusk or dawn': 1, 'daytime': 1}"
COCO_train2014_000000175121.jpg,1,0.0,1,1,{'bus': 5}
COCO_train2014_000000180641.jpg,0,0.8277293767706427,0,4,"{'muzzle': 2, 'muzzel': 1, 'mussle': 1, 'dog muter': 1}"
COCO_train2014_000000183847.jpg,0,1.0,0,5,"{'because he is skiing': 1, 'sunlight': 1, 'sunny': 1, 'snow is bright': 1, 'keep sun out of eyes': 1}"
COCO_train2014_000000190859.jpg,0,0.3109175070825711,1,2,"{'skateboard': 4, 'skaeboard': 1}"
COCO_train2014_000000203098.jpg,1,0.0,1,1,{'yes': 5}
