"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.vqa"	"Answer.vqa_answer"	"Answer.confidence"
"36FQTHX3Z3FJBQTNYEJDGBR6HDTB3A"	"3LJ9P5KQ1644D6TBHD84QFMYR7AYTS"	"Answer question about image and give bounding box"	"Given an image and a question about it, can you answer the question and draw a bounding box to locate the evidence for your answer?"	"visual question answering, bounding box, image question"	"$0.02"	"Mon Apr 24 18:25:06 CDT 2017"	"5"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"abstract_v002_train2015_000000011779.png"	"600"	"1296000"	"Mon May 01 18:25:06 CDT 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=36FQTHX3Z3FJBQTNYEJDGBR6HDTB3A"	"3LQ8PUHQFMHBEQCM9B5XVCSDW1LIHL"	"A16TPV9T2VG2CJ"	"Submitted"	"Tue May 09 18:36:16 CDT 2017"	"Mon Apr 24 18:35:44 CDT 2017"	"Mon Apr 24 18:36:16 CDT 2017"	""	""	""	""	""	"{""image"":""abstract_v002_train2015_000000011779.png"",""dataset"":""abstract"",""question"":""Who looks happier?"",""answer"":""man"",""rectangle"":{""startX"":363.1700134277344,""startY"":91.97000122070312,""w"":137,""h"":151},""goPage2Time"":""2017-04-24T23:35:04.744Z"",""startDrawTime"":""2017-04-24T23:35:10.251Z"",""goPage3Time"":""2017-04-24T23:35:28.084Z"",""startInputTime"":""2017-04-24T23:35:30.534Z"",""submitTime"":""2017-04-24T23:35:33.108Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[77,65,78],""timeTypeStream"":[""2017-04-24T23:35:30.532Z"",""2017-04-24T23:35:30.715Z"",""2017-04-24T23:35:30.893Z""],""confidence"":""yes""}"	"man"	"yes"
"36FQTHX3Z3FJBQTNYEJDGBR6HDTB3A"	"3LJ9P5KQ1644D6TBHD84QFMYR7AYTS"	"Answer question about image and give bounding box"	"Given an image and a question about it, can you answer the question and draw a bounding box to locate the evidence for your answer?"	"visual question answering, bounding box, image question"	"$0.02"	"Mon Apr 24 18:25:06 CDT 2017"	"5"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"abstract_v002_train2015_000000011779.png"	"600"	"1296000"	"Mon May 01 18:25:06 CDT 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=36FQTHX3Z3FJBQTNYEJDGBR6HDTB3A"	"3X4MXAO0BHD64FAUUXL6A73RYLKRW1"	"A1FIF6TYWWU5FK"	"Submitted"	"Tue May 09 19:48:26 CDT 2017"	"Mon Apr 24 19:47:26 CDT 2017"	"Mon Apr 24 19:48:26 CDT 2017"	""	""	""	""	""	"{""image"":""abstract_v002_train2015_000000011779.png"",""dataset"":""abstract"",""question"":""Who looks happier?"",""answer"":""man"",""rectangle"":{""startX"":160.5,""startY"":87.171875,""w"":353,""h"":49},""goPage2Time"":""2017-04-25T00:47:58.563Z"",""startDrawTime"":""2017-04-25T00:48:06.025Z"",""goPage3Time"":""2017-04-25T00:48:38.079Z"",""startInputTime"":""2017-04-25T00:48:40.424Z"",""submitTime"":""2017-04-25T00:48:45.769Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[77,65,78],""timeTypeStream"":[""2017-04-25T00:48:40.409Z"",""2017-04-25T00:48:40.749Z"",""2017-04-25T00:48:41.211Z""],""confidence"":""yes""}"	"man"	"yes"
"36FQTHX3Z3FJBQTNYEJDGBR6HDTB3A"	"3LJ9P5KQ1644D6TBHD84QFMYR7AYTS"	"Answer question about image and give bounding box"	"Given an image and a question about it, can you answer the question and draw a bounding box to locate the evidence for your answer?"	"visual question answering, bounding box, image question"	"$0.02"	"Mon Apr 24 18:25:06 CDT 2017"	"5"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"abstract_v002_train2015_000000011779.png"	"600"	"1296000"	"Mon May 01 18:25:06 CDT 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=36FQTHX3Z3FJBQTNYEJDGBR6HDTB3A"	"3TUI152ZZCCDRDFRKU7LCR3S6NAQ13"	"ATR6RB1RULOC0"	"Submitted"	"Tue May 09 19:57:55 CDT 2017"	"Mon Apr 24 19:57:42 CDT 2017"	"Mon Apr 24 19:57:55 CDT 2017"	""	""	""	""	""	"{""image"":""abstract_v002_train2015_000000011779.png"",""dataset"":""abstract"",""question"":""Who looks happier?"",""answer"":""man"",""rectangle"":{""startX"":126.0555419921875,""startY"":93.0555419921875,""w"":355,""h"":161},""goPage2Time"":""2017-04-25T00:57:56.002Z"",""startDrawTime"":""2017-04-25T00:57:59.844Z"",""goPage3Time"":""2017-04-25T00:58:03.568Z"",""startInputTime"":""2017-04-25T00:58:04.887Z"",""submitTime"":""2017-04-25T00:58:06.817Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[77,65,78],""timeTypeStream"":[""2017-04-25T00:58:04.885Z"",""2017-04-25T00:58:04.981Z"",""2017-04-25T00:58:05.078Z""],""confidence"":""yes""}"	"man"	"yes"
"36FQTHX3Z3FJBQTNYEJDGBR6HDTB3A"	"3LJ9P5KQ1644D6TBHD84QFMYR7AYTS"	"Answer question about image and give bounding box"	"Given an image and a question about it, can you answer the question and draw a bounding box to locate the evidence for your answer?"	"visual question answering, bounding box, image question"	"$0.02"	"Mon Apr 24 18:25:06 CDT 2017"	"5"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"abstract_v002_train2015_000000011779.png"	"600"	"1296000"	"Mon May 01 18:25:06 CDT 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=36FQTHX3Z3FJBQTNYEJDGBR6HDTB3A"	"3TAYZSBPLMXWTEC0V2W4CASYGHA2SM"	"A1PIWJSP8Q5UW7"	"Submitted"	"Tue May 09 20:18:48 CDT 2017"	"Mon Apr 24 20:18:19 CDT 2017"	"Mon Apr 24 20:18:48 CDT 2017"	""	""	""	""	""	"{""image"":""abstract_v002_train2015_000000011779.png"",""dataset"":""abstract"",""question"":""Who looks happier?"",""answer"":""Gray haired"",""rectangle"":{""startX"":347.27777099609375,""startY"":64.45834350585938,""w"":27,""h"":38},""goPage2Time"":""2017-04-25T01:17:36.842Z"",""startDrawTime"":""2017-04-25T01:17:40.807Z"",""goPage3Time"":""2017-04-25T01:17:53.060Z"",""startInputTime"":""2017-04-25T01:17:55.986Z"",""submitTime"":""2017-04-25T01:18:02.603Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[71,82,65,89,72,65,73,82,69,68],""timeTypeStream"":[""2017-04-25T01:17:55.981Z"",""2017-04-25T01:17:56.395Z"",""2017-04-25T01:17:56.679Z"",""2017-04-25T01:17:56.876Z"",""2017-04-25T01:17:58.702Z"",""2017-04-25T01:17:58.869Z"",""2017-04-25T01:17:59.110Z"",""2017-04-25T01:17:59.721Z"",""2017-04-25T01:17:59.917Z"",""2017-04-25T01:18:00.190Z""],""confidence"":""yes""}"	"Gray haired"	"yes"
"36FQTHX3Z3FJBQTNYEJDGBR6HDTB3A"	"3LJ9P5KQ1644D6TBHD84QFMYR7AYTS"	"Answer question about image and give bounding box"	"Given an image and a question about it, can you answer the question and draw a bounding box to locate the evidence for your answer?"	"visual question answering, bounding box, image question"	"$0.02"	"Mon Apr 24 18:25:06 CDT 2017"	"5"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"abstract_v002_train2015_000000011779.png"	"600"	"1296000"	"Mon May 01 18:25:06 CDT 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=36FQTHX3Z3FJBQTNYEJDGBR6HDTB3A"	"3WSELTNVR4RMDHKJXHU9SX7IUOHATR"	"A39CN7ZXMNM2OB"	"Submitted"	"Tue May 09 20:39:38 CDT 2017"	"Mon Apr 24 20:38:57 CDT 2017"	"Mon Apr 24 20:39:38 CDT 2017"	""	""	""	""	""	"{""image"":""abstract_v002_train2015_000000011779.png"",""dataset"":""abstract"",""question"":""Who looks happier?"",""answer"":""Old Lady "",""rectangle"":{""startX"":358,""startY"":81.171875,""w"":154,""h"":162},""goPage2Time"":""2017-04-25T01:39:06.892Z"",""startDrawTime"":""2017-04-25T01:39:12.072Z"",""goPage3Time"":""2017-04-25T01:39:27.221Z"",""startInputTime"":""2017-04-25T01:39:38.288Z"",""submitTime"":""2017-04-25T01:39:44.620Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[79,76,68,76,65,68,89],""timeTypeStream"":[""2017-04-25T01:39:38.283Z"",""2017-04-25T01:39:38.524Z"",""2017-04-25T01:39:38.772Z"",""2017-04-25T01:39:41.297Z"",""2017-04-25T01:39:41.512Z"",""2017-04-25T01:39:41.851Z"",""2017-04-25T01:39:42.093Z""],""confidence"":""yes""}"	"Old Lady "	"yes"
"3D42WVSDH8JA4A2RS1YZPVE45CGFY2"	"3LJ9P5KQ1644D6TBHD84QFMYR7AYTS"	"Answer question about image and give bounding box"	"Given an image and a question about it, can you answer the question and draw a bounding box to locate the evidence for your answer?"	"visual question answering, bounding box, image question"	"$0.02"	"Mon Apr 24 18:25:06 CDT 2017"	"5"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"abstract_v002_train2015_000000005536.png"	"600"	"1296000"	"Mon May 01 18:25:06 CDT 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3D42WVSDH8JA4A2RS1YZPVE45CGFY2"	"3OLQQLKKNTEVPR5Q1SIRMAA0H0KJEK"	"A64ZW1TX2A7I4"	"Submitted"	"Tue May 09 19:22:42 CDT 2017"	"Mon Apr 24 19:22:18 CDT 2017"	"Mon Apr 24 19:22:42 CDT 2017"	""	""	""	""	""	"{""image"":""abstract_v002_train2015_000000005536.png"",""dataset"":""abstract"",""question"":""What color is the carpet?"",""answer"":""tan"",""rectangle"":{""startX"":15.5,""startY"":228.171875,""w"":133,""h"":82},""goPage2Time"":""2017-04-25T00:22:51.343Z"",""startDrawTime"":""2017-04-25T00:22:57.591Z"",""goPage3Time"":""2017-04-25T00:23:02.133Z"",""startInputTime"":""2017-04-25T00:23:04.714Z"",""submitTime"":""2017-04-25T00:23:11.985Z"",""deleteCnt"":4,""editCnt"":1,""keyTypeStream"":[66,82,79,87,84,65,78],""timeTypeStream"":[""2017-04-25T00:23:04.709Z"",""2017-04-25T00:23:05.051Z"",""2017-04-25T00:23:05.302Z"",""2017-04-25T00:23:05.664Z"",""2017-04-25T00:23:07.963Z"",""2017-04-25T00:23:08.206Z"",""2017-04-25T00:23:08.642Z""],""confidence"":""yes""}"	"tan"	"yes"
"3D42WVSDH8JA4A2RS1YZPVE45CGFY2"	"3LJ9P5KQ1644D6TBHD84QFMYR7AYTS"	"Answer question about image and give bounding box"	"Given an image and a question about it, can you answer the question and draw a bounding box to locate the evidence for your answer?"	"visual question answering, bounding box, image question"	"$0.02"	"Mon Apr 24 18:25:06 CDT 2017"	"5"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"abstract_v002_train2015_000000005536.png"	"600"	"1296000"	"Mon May 01 18:25:06 CDT 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3D42WVSDH8JA4A2RS1YZPVE45CGFY2"	"3FTOP5WARGDWY1QWTLJC1L8WNZB0JG"	"A34VJG7ZCJ8LX"	"Submitted"	"Tue May 09 19:29:12 CDT 2017"	"Mon Apr 24 19:28:54 CDT 2017"	"Mon Apr 24 19:29:12 CDT 2017"	""	""	""	""	""	"{""image"":""abstract_v002_train2015_000000005536.png"",""dataset"":""abstract"",""question"":""What color is the carpet?"",""answer"":""tan"",""rectangle"":{""startX"":27.58001708984375,""startY"":213.86001586914062,""w"":71,""h"":37},""goPage2Time"":""2017-04-25T00:28:19.803Z"",""startDrawTime"":""2017-04-25T00:28:25.298Z"",""goPage3Time"":""2017-04-25T00:28:27.765Z"",""startInputTime"":""2017-04-25T00:28:30.838Z"",""submitTime"":""2017-04-25T00:28:33.655Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[84,65,78],""timeTypeStream"":[""2017-04-25T00:28:30.835Z"",""2017-04-25T00:28:31.075Z"",""2017-04-25T00:28:31.563Z""],""confidence"":""maybe""}"	"tan"	"maybe"
"3D42WVSDH8JA4A2RS1YZPVE45CGFY2"	"3LJ9P5KQ1644D6TBHD84QFMYR7AYTS"	"Answer question about image and give bounding box"	"Given an image and a question about it, can you answer the question and draw a bounding box to locate the evidence for your answer?"	"visual question answering, bounding box, image question"	"$0.02"	"Mon Apr 24 18:25:06 CDT 2017"	"5"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"abstract_v002_train2015_000000005536.png"	"600"	"1296000"	"Mon May 01 18:25:06 CDT 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3D42WVSDH8JA4A2RS1YZPVE45CGFY2"	"3OLQQLKKNTEVPR5Q1SIRMAA0H0LJEL"	"ATR6RB1RULOC0"	"Submitted"	"Tue May 09 19:34:12 CDT 2017"	"Mon Apr 24 19:33:54 CDT 2017"	"Mon Apr 24 19:34:12 CDT 2017"	""	""	""	""	""	"{""image"":""abstract_v002_train2015_000000005536.png"",""dataset"":""abstract"",""question"":""What color is the carpet?"",""answer"":""tan"",""rectangle"":{""startX"":476.0555419921875,""startY"":223.0555419921875,""w"":63,""h"":90},""goPage2Time"":""2017-04-25T00:34:09.082Z"",""startDrawTime"":""2017-04-25T00:34:14.215Z"",""goPage3Time"":""2017-04-25T00:34:16.818Z"",""startInputTime"":""2017-04-25T00:34:19.643Z"",""submitTime"":""2017-04-25T00:34:24.643Z"",""deleteCnt"":5,""editCnt"":2,""keyTypeStream"":[66,69,73,71,84,78,65,78],""timeTypeStream"":[""2017-04-25T00:34:19.642Z"",""2017-04-25T00:34:20.007Z"",""2017-04-25T00:34:20.640Z"",""2017-04-25T00:34:20.720Z"",""2017-04-25T00:34:21.939Z"",""2017-04-25T00:34:22.206Z"",""2017-04-25T00:34:22.649Z"",""2017-04-25T00:34:22.766Z""],""confidence"":""yes""}"	"tan"	"yes"
"3D42WVSDH8JA4A2RS1YZPVE45CGFY2"	"3LJ9P5KQ1644D6TBHD84QFMYR7AYTS"	"Answer question about image and give bounding box"	"Given an image and a question about it, can you answer the question and draw a bounding box to locate the evidence for your answer?"	"visual question answering, bounding box, image question"	"$0.02"	"Mon Apr 24 18:25:06 CDT 2017"	"5"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"abstract_v002_train2015_000000005536.png"	"600"	"1296000"	"Mon May 01 18:25:06 CDT 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3D42WVSDH8JA4A2RS1YZPVE45CGFY2"	"31Q0U3WYDQ43LVACOVYFC0MX1XK17I"	"A1PIWJSP8Q5UW7"	"Submitted"	"Tue May 09 20:30:52 CDT 2017"	"Mon Apr 24 20:30:37 CDT 2017"	"Mon Apr 24 20:30:52 CDT 2017"	""	""	""	""	""	"{""image"":""abstract_v002_train2015_000000005536.png"",""dataset"":""abstract"",""question"":""What color is the carpet?"",""answer"":""bisque"",""rectangle"":{""startX"":372.27777099609375,""startY"":191.45834350585938,""w"":68,""h"":63},""goPage2Time"":""2017-04-25T01:29:54.702Z"",""startDrawTime"":""2017-04-25T01:29:58.704Z"",""goPage3Time"":""2017-04-25T01:30:01.688Z"",""startInputTime"":""2017-04-25T01:30:03.257Z"",""submitTime"":""2017-04-25T01:30:06.848Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[66,73,83,81,85,69],""timeTypeStream"":[""2017-04-25T01:30:03.238Z"",""2017-04-25T01:30:03.554Z"",""2017-04-25T01:30:04.175Z"",""2017-04-25T01:30:04.516Z"",""2017-04-25T01:30:04.863Z"",""2017-04-25T01:30:05.255Z""],""confidence"":""maybe""}"	"bisque"	"maybe"
"3D42WVSDH8JA4A2RS1YZPVE45CGFY2"	"3LJ9P5KQ1644D6TBHD84QFMYR7AYTS"	"Answer question about image and give bounding box"	"Given an image and a question about it, can you answer the question and draw a bounding box to locate the evidence for your answer?"	"visual question answering, bounding box, image question"	"$0.02"	"Mon Apr 24 18:25:06 CDT 2017"	"5"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"abstract_v002_train2015_000000005536.png"	"600"	"1296000"	"Mon May 01 18:25:06 CDT 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3D42WVSDH8JA4A2RS1YZPVE45CGFY2"	"3KB8R4ZV1FWNRM35JVVYOPCZMCUGBJ"	"A39CN7ZXMNM2OB"	"Submitted"	"Tue May 09 20:45:24 CDT 2017"	"Mon Apr 24 20:45:03 CDT 2017"	"Mon Apr 24 20:45:24 CDT 2017"	""	""	""	""	""	"{""image"":""abstract_v002_train2015_000000005536.png"",""dataset"":""abstract"",""question"":""What color is the carpet?"",""answer"":""Brown"",""rectangle"":{""startX"":5,""startY"":227.171875,""w"":548,""h"":88},""goPage2Time"":""2017-04-25T01:45:13.371Z"",""startDrawTime"":""2017-04-25T01:45:16.161Z"",""goPage3Time"":""2017-04-25T01:45:24.774Z"",""startInputTime"":""2017-04-25T01:45:27.797Z"",""submitTime"":""2017-04-25T01:45:31.091Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[66],""timeTypeStream"":[""2017-04-25T01:45:27.797Z""],""confidence"":""yes""}"	"Brown"	"yes"
