hitid	hittypeid	title	description	keywords	reward	creationtime	assignments	numavailable	numpending	numcomplete	hitstatus	reviewstatus	annotation	assignmentduration	autoapprovaldelay	hitlifetime	viewhit	assignmentid	workerid	assignmentstatus	autoapprovaltime	assignmentaccepttime	assignmentsubmittime	assignmentapprovaltime	assignmentrejecttime	deadline	feedback	reject	Answer.vqa	Answer.confidence	Answer.vqa_answer
3HEA4ZVWVDAK0PZIBNGTSMPYLI1556	3WBZ6EY6WWZZDK11Y39O136416FULP	Answer question about image	"Given an image and a question about it, can you answer the question according to the image?"	"visual question answering, image question"	$0.02 	Tue May 02 12:58:16 CDT 2017	5	0	0	0	Reviewable	NotReviewed	COCO_train2014_000000078077.jpg	600	1296000	Tue May 09 12:58:16 CDT 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3HEA4ZVWVDAK0PZIBNGTSMPYLI1556	33LKR6A5KF9QJT7J1Y1GHWEFQCW1TF	A3L1OIVE57IMT2	Submitted	Wed May 17 13:07:22 CDT 2017	Tue May 02 13:07:13 CDT 2017	Tue May 02 13:07:22 CDT 2017						"{""image"":""COCO_train2014_000000078077.jpg"",""dataset"":""vizwiz"",""question"":""Is this a modern train?"",""answer"":""no"",""rectangle"":null,""goPage2Time"":null,""startDrawTime"":null,""goPage3Time"":""2017-05-02T18:07:14.268Z"",""startInputTime"":""2017-05-02T18:07:19.647Z"",""submitTime"":""2017-05-02T18:07:22.470Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[78,79],""timeTypeStream"":[""2017-05-02T18:07:19.644Z"",""2017-05-02T18:07:19.824Z""],""confidence"":""yes""}"	yes	no
3HEA4ZVWVDAK0PZIBNGTSMPYLI1556	3WBZ6EY6WWZZDK11Y39O136416FULP	Answer question about image	"Given an image and a question about it, can you answer the question according to the image?"	"visual question answering, image question"	$0.02 	Tue May 02 12:58:16 CDT 2017	5	0	0	0	Reviewable	NotReviewed	COCO_train2014_000000078077.jpg	600	1296000	Tue May 09 12:58:16 CDT 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3HEA4ZVWVDAK0PZIBNGTSMPYLI1556	3L70J4KAZHBFWSOMBRUUNTPWRKEDAW	AVFHRN0S32V2H	Submitted	Wed May 17 13:10:10 CDT 2017	Tue May 02 13:10:03 CDT 2017	Tue May 02 13:10:10 CDT 2017						"{""image"":""COCO_train2014_000000078077.jpg"",""dataset"":""vizwiz"",""question"":""Is this a modern train?"",""answer"":""no"",""rectangle"":null,""goPage2Time"":null,""startDrawTime"":null,""goPage3Time"":""2017-05-02T18:10:04.678Z"",""startInputTime"":""2017-05-02T18:10:07.081Z"",""submitTime"":""2017-05-02T18:10:09.780Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[78,79],""timeTypeStream"":[""2017-05-02T18:10:07.075Z"",""2017-05-02T18:10:07.136Z""],""confidence"":""yes""}"	yes	no
3HEA4ZVWVDAK0PZIBNGTSMPYLI1556	3WBZ6EY6WWZZDK11Y39O136416FULP	Answer question about image	"Given an image and a question about it, can you answer the question according to the image?"	"visual question answering, image question"	$0.02 	Tue May 02 12:58:16 CDT 2017	5	0	0	0	Reviewable	NotReviewed	COCO_train2014_000000078077.jpg	600	1296000	Tue May 09 12:58:16 CDT 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3HEA4ZVWVDAK0PZIBNGTSMPYLI1556	3GA6AFUKOPDWONU3O8YAR6QOD2G3H0	A37WDOIQH6JM6V	Submitted	Wed May 17 13:15:21 CDT 2017	Tue May 02 13:13:41 CDT 2017	Tue May 02 13:15:21 CDT 2017						"{""image"":""COCO_train2014_000000078077.jpg"",""dataset"":""vizwiz"",""question"":""Is this a modern train?"",""answer"":""no"",""rectangle"":null,""goPage2Time"":null,""startDrawTime"":null,""goPage3Time"":""2017-05-02T18:13:43.082Z"",""startInputTime"":""2017-05-02T18:15:15.215Z"",""submitTime"":""2017-05-02T18:15:19.675Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[78,79],""timeTypeStream"":[""2017-05-02T18:15:15.203Z"",""2017-05-02T18:15:15.358Z""],""confidence"":""yes""}"	yes	no
3HEA4ZVWVDAK0PZIBNGTSMPYLI1556	3WBZ6EY6WWZZDK11Y39O136416FULP	Answer question about image	"Given an image and a question about it, can you answer the question according to the image?"	"visual question answering, image question"	$0.02 	Tue May 02 12:58:16 CDT 2017	5	0	0	0	Reviewable	NotReviewed	COCO_train2014_000000078077.jpg	600	1296000	Tue May 09 12:58:16 CDT 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3HEA4ZVWVDAK0PZIBNGTSMPYLI1556	3JZQSN0I3RZD43FLOXHU7F3K1S9FGN	A3AV8KOZW78IEW	Submitted	Wed May 17 13:28:04 CDT 2017	Tue May 02 13:27:56 CDT 2017	Tue May 02 13:28:04 CDT 2017						"{""image"":""COCO_train2014_000000078077.jpg"",""dataset"":""vizwiz"",""question"":""Is this a modern train?"",""answer"":""no"",""rectangle"":null,""goPage2Time"":null,""startDrawTime"":null,""goPage3Time"":""2017-05-02T18:34:01.764Z"",""startInputTime"":""2017-05-02T18:34:05.885Z"",""submitTime"":""2017-05-02T18:34:08.526Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[78],""timeTypeStream"":[""2017-05-02T18:34:05.878Z""],""confidence"":""yes""}"	yes	no
3HEA4ZVWVDAK0PZIBNGTSMPYLI1556	3WBZ6EY6WWZZDK11Y39O136416FULP	Answer question about image	"Given an image and a question about it, can you answer the question according to the image?"	"visual question answering, image question"	$0.02 	Tue May 02 12:58:16 CDT 2017	5	0	0	0	Reviewable	NotReviewed	COCO_train2014_000000078077.jpg	600	1296000	Tue May 09 12:58:16 CDT 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3HEA4ZVWVDAK0PZIBNGTSMPYLI1556	382M9COHEI4437GKDRM5TCJBYZAEU5	A150CIC6SJN8JC	Submitted	Wed May 17 13:39:29 CDT 2017	Tue May 02 13:39:20 CDT 2017	Tue May 02 13:39:29 CDT 2017								No
3BAWBGQGYLNGLNSG57D3U4XTPCY7VU	3WBZ6EY6WWZZDK11Y39O136416FULP	Answer question about image	"Given an image and a question about it, can you answer the question according to the image?"	"visual question answering, image question"	$0.02 	Tue May 02 12:58:16 CDT 2017	5	0	0	0	Reviewable	NotReviewed	COCO_train2014_000000501867.jpg	600	1296000	Tue May 09 12:58:16 CDT 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3BAWBGQGYLNGLNSG57D3U4XTPCY7VU	3E4GGUZ1T9GY5VZSQTN2LO1OZ5J2KR	A3QYPO5VNKFOF6	Submitted	Wed May 17 13:08:59 CDT 2017	Tue May 02 13:08:41 CDT 2017	Tue May 02 13:08:59 CDT 2017						"{""image"":""COCO_train2014_000000501867.jpg"",""dataset"":""vizwiz"",""question"":""Is the bus driver on any kind of antidepressant medication?"",""answer"":""unanswerable"",""rectangle"":null,""goPage2Time"":null,""startDrawTime"":null,""goPage3Time"":""2017-05-02T18:08:43.073Z"",""startInputTime"":""2017-05-02T18:08:50.308Z"",""submitTime"":""2017-05-02T18:08:58.324Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[85,78,65,78,83,87,69,82,65,66,76,69],""timeTypeStream"":[""2017-05-02T18:08:50.270Z"",""2017-05-02T18:08:50.644Z"",""2017-05-02T18:08:51.404Z"",""2017-05-02T18:08:51.806Z"",""2017-05-02T18:08:52.061Z"",""2017-05-02T18:08:52.687Z"",""2017-05-02T18:08:52.962Z"",""2017-05-02T18:08:53.212Z"",""2017-05-02T18:08:53.443Z"",""2017-05-02T18:08:53.543Z"",""2017-05-02T18:08:53.775Z"",""2017-05-02T18:08:53.868Z""],""confidence"":""yes""}"	yes	unanswerable
3BAWBGQGYLNGLNSG57D3U4XTPCY7VU	3WBZ6EY6WWZZDK11Y39O136416FULP	Answer question about image	"Given an image and a question about it, can you answer the question according to the image?"	"visual question answering, image question"	$0.02 	Tue May 02 12:58:16 CDT 2017	5	0	0	0	Reviewable	NotReviewed	COCO_train2014_000000501867.jpg	600	1296000	Tue May 09 12:58:16 CDT 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3BAWBGQGYLNGLNSG57D3U4XTPCY7VU	3KV0LJBBH3AAZ3GGQVFJ191002VMRW	A1VJAKNGJPT0M3	Submitted	Wed May 17 13:18:37 CDT 2017	Tue May 02 13:18:26 CDT 2017	Tue May 02 13:18:37 CDT 2017						"{""image"":""COCO_train2014_000000501867.jpg"",""dataset"":""vizwiz"",""question"":""Is the bus driver on any kind of antidepressant medication?"",""answer"":""No"",""rectangle"":null,""goPage2Time"":null,""startDrawTime"":null,""goPage3Time"":""2017-05-02T18:18:25.080Z"",""startInputTime"":""2017-05-02T18:18:32.377Z"",""submitTime"":""2017-05-02T18:18:35.283Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[78,79],""timeTypeStream"":[""2017-05-02T18:18:32.370Z"",""2017-05-02T18:18:32.578Z""],""confidence"":""maybe""}"	maybe	No
3BAWBGQGYLNGLNSG57D3U4XTPCY7VU	3WBZ6EY6WWZZDK11Y39O136416FULP	Answer question about image	"Given an image and a question about it, can you answer the question according to the image?"	"visual question answering, image question"	$0.02 	Tue May 02 12:58:16 CDT 2017	5	0	0	0	Reviewable	NotReviewed	COCO_train2014_000000501867.jpg	600	1296000	Tue May 09 12:58:16 CDT 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3BAWBGQGYLNGLNSG57D3U4XTPCY7VU	39KFRKBFIOK7W7DEH6MQ19J2YPPOYF	ABNJZG6Q8TVDQ	Submitted	Wed May 17 13:24:40 CDT 2017	Tue May 02 13:24:15 CDT 2017	Tue May 02 13:24:40 CDT 2017						"{""image"":""COCO_train2014_000000501867.jpg"",""dataset"":""vizwiz"",""question"":""Is the bus driver on any kind of antidepressant medication?"",""answer"":""no"",""rectangle"":null,""goPage2Time"":null,""startDrawTime"":null,""goPage3Time"":""2017-05-02T18:24:15.162Z"",""startInputTime"":""2017-05-02T18:24:34.364Z"",""submitTime"":""2017-05-02T18:24:37.013Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[78,79],""timeTypeStream"":[""2017-05-02T18:24:34.344Z"",""2017-05-02T18:24:34.547Z""],""confidence"":""maybe""}"	maybe	no
3BAWBGQGYLNGLNSG57D3U4XTPCY7VU	3WBZ6EY6WWZZDK11Y39O136416FULP	Answer question about image	"Given an image and a question about it, can you answer the question according to the image?"	"visual question answering, image question"	$0.02 	Tue May 02 12:58:16 CDT 2017	5	0	0	0	Reviewable	NotReviewed	COCO_train2014_000000501867.jpg	600	1296000	Tue May 09 12:58:16 CDT 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3BAWBGQGYLNGLNSG57D3U4XTPCY7VU	30H4UDGLT37PNQ01D3BUWE1LZK8PM8	ACSS93E03ZUGX	Submitted	Wed May 17 13:28:37 CDT 2017	Tue May 02 13:28:26 CDT 2017	Tue May 02 13:28:37 CDT 2017						"{""image"":""COCO_train2014_000000501867.jpg"",""dataset"":""vizwiz"",""question"":""Is the bus driver on any kind of antidepressant medication?"",""answer"":""yes"",""rectangle"":null,""goPage2Time"":null,""startDrawTime"":null,""goPage3Time"":""2017-05-02T18:28:25.886Z"",""startInputTime"":""2017-05-02T18:28:33.374Z"",""submitTime"":""2017-05-02T18:28:35.332Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[89,69,83],""timeTypeStream"":[""2017-05-02T18:28:33.371Z"",""2017-05-02T18:28:33.435Z"",""2017-05-02T18:28:33.534Z""],""confidence"":""maybe""}"	maybe	yes
3BAWBGQGYLNGLNSG57D3U4XTPCY7VU	3WBZ6EY6WWZZDK11Y39O136416FULP	Answer question about image	"Given an image and a question about it, can you answer the question according to the image?"	"visual question answering, image question"	$0.02 	Tue May 02 12:58:16 CDT 2017	5	0	0	0	Reviewable	NotReviewed	COCO_train2014_000000501867.jpg	600	1296000	Tue May 09 12:58:16 CDT 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3BAWBGQGYLNGLNSG57D3U4XTPCY7VU	386PBUZZXGM9VXFIIE5VZ50KQGCLJ2	A2O5J0420C1UPC	Submitted	Wed May 17 13:29:44 CDT 2017	Tue May 02 13:29:23 CDT 2017	Tue May 02 13:29:44 CDT 2017						"{""image"":""COCO_train2014_000000501867.jpg"",""dataset"":""vizwiz"",""question"":""Is the bus driver on any kind of antidepressant medication?"",""answer"":""unanswerable"",""rectangle"":null,""goPage2Time"":null,""startDrawTime"":null,""goPage3Time"":""2017-05-02T18:29:23.640Z"",""startInputTime"":""2017-05-02T18:29:35.547Z"",""submitTime"":""2017-05-02T18:29:42.687Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[85,78,65,78,83,87,69,82,65,66,76,69],""timeTypeStream"":[""2017-05-02T18:29:35.544Z"",""2017-05-02T18:29:35.910Z"",""2017-05-02T18:29:36.492Z"",""2017-05-02T18:29:36.672Z"",""2017-05-02T18:29:38.230Z"",""2017-05-02T18:29:38.552Z"",""2017-05-02T18:29:38.636Z"",""2017-05-02T18:29:38.877Z"",""2017-05-02T18:29:39.037Z"",""2017-05-02T18:29:39.568Z"",""2017-05-02T18:29:39.809Z"",""2017-05-02T18:29:40.018Z""],""confidence"":""yes""}"	yes	unanswerable
