hitid	hittypeid	title	description	keywords	reward	creationtime	assignments	numavailable	numpending	numcomplete	hitstatus	reviewstatus	annotation	assignmentduration	autoapprovaldelay	hitlifetime	viewhit	assignmentid	workerid	assignmentstatus	autoapprovaltime	assignmentaccepttime	assignmentsubmittime	assignmentapprovaltime	assignmentrejecttime	deadline	feedback	reject	Answer.vqa	Answer.confidence	Answer.vqa_answer
3YLPJ8OXX81B6PFS3OGEFDA4ELG4XA	3WBZ6EY6WWZZDK11Y39O136416FULP	Answer question about image	"Given an image and a question about it, can you answer the question according to the image?"	"visual question answering, image question"	$0.02 	Tue May 02 12:58:11 CDT 2017	5	0	0	0	Reviewable	NotReviewed	abstract_v002_train2015_000000011779.png	600	1296000	Tue May 09 12:58:11 CDT 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3YLPJ8OXX81B6PFS3OGEFDA4ELG4XA	3OS46CRSLGO037C5CZDCDATHV8RV6M	A13BTXTJQIXWTL	Submitted	Wed May 17 13:01:16 CDT 2017	Tue May 02 13:01:03 CDT 2017	Tue May 02 13:01:16 CDT 2017						"{""image"":""abstract_v002_train2015_000000011779.png"",""dataset"":""vizwiz"",""question"":""Who looks happier?"",""answer"":""man"",""rectangle"":null,""goPage2Time"":null,""startDrawTime"":null,""goPage3Time"":""2017-05-02T18:01:03.185Z"",""startInputTime"":""2017-05-02T18:01:07.563Z"",""submitTime"":""2017-05-02T18:01:15.446Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[84,72,69,77,65,78],""timeTypeStream"":[""2017-05-02T18:01:07.561Z"",""2017-05-02T18:01:07.817Z"",""2017-05-02T18:01:08.414Z"",""2017-05-02T18:01:11.198Z"",""2017-05-02T18:01:11.327Z"",""2017-05-02T18:01:11.618Z""],""confidence"":""yes""}"	yes	man
3YLPJ8OXX81B6PFS3OGEFDA4ELG4XA	3WBZ6EY6WWZZDK11Y39O136416FULP	Answer question about image	"Given an image and a question about it, can you answer the question according to the image?"	"visual question answering, image question"	$0.02 	Tue May 02 12:58:11 CDT 2017	5	0	0	0	Reviewable	NotReviewed	abstract_v002_train2015_000000011779.png	600	1296000	Tue May 09 12:58:11 CDT 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3YLPJ8OXX81B6PFS3OGEFDA4ELG4XA	3RYC5T2D74IGK6DTIB7BIDVV574RPV	ATHS9GUME1XCA	Submitted	Wed May 17 13:06:10 CDT 2017	Tue May 02 13:05:57 CDT 2017	Tue May 02 13:06:10 CDT 2017						"{""image"":""abstract_v002_train2015_000000011779.png"",""dataset"":""vizwiz"",""question"":""Who looks happier?"",""answer"":""The man"",""rectangle"":null,""goPage2Time"":null,""startDrawTime"":null,""goPage3Time"":""2017-05-02T18:05:59.844Z"",""startInputTime"":""2017-05-02T18:06:04.909Z"",""submitTime"":""2017-05-02T18:06:08.882Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[84,72,69,77,65,78],""timeTypeStream"":[""2017-05-02T18:06:04.900Z"",""2017-05-02T18:06:05.165Z"",""2017-05-02T18:06:05.389Z"",""2017-05-02T18:06:05.795Z"",""2017-05-02T18:06:05.908Z"",""2017-05-02T18:06:06.118Z""],""confidence"":""yes""}"	yes	The man
3YLPJ8OXX81B6PFS3OGEFDA4ELG4XA	3WBZ6EY6WWZZDK11Y39O136416FULP	Answer question about image	"Given an image and a question about it, can you answer the question according to the image?"	"visual question answering, image question"	$0.02 	Tue May 02 12:58:11 CDT 2017	5	0	0	0	Reviewable	NotReviewed	abstract_v002_train2015_000000011779.png	600	1296000	Tue May 09 12:58:11 CDT 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3YLPJ8OXX81B6PFS3OGEFDA4ELG4XA	3QIYRE09Y46SOG2Z42F48X8N1UAN10	AVFHRN0S32V2H	Submitted	Wed May 17 13:10:20 CDT 2017	Tue May 02 13:10:11 CDT 2017	Tue May 02 13:10:20 CDT 2017						"{""image"":""abstract_v002_train2015_000000011779.png"",""dataset"":""vizwiz"",""question"":""Who looks happier?"",""answer"":""man"",""rectangle"":null,""goPage2Time"":null,""startDrawTime"":null,""goPage3Time"":""2017-05-02T18:10:12.367Z"",""startInputTime"":""2017-05-02T18:10:16.547Z"",""submitTime"":""2017-05-02T18:10:19.343Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[77,65,78],""timeTypeStream"":[""2017-05-02T18:10:16.539Z"",""2017-05-02T18:10:16.683Z"",""2017-05-02T18:10:16.764Z""],""confidence"":""yes""}"	yes	man
3YLPJ8OXX81B6PFS3OGEFDA4ELG4XA	3WBZ6EY6WWZZDK11Y39O136416FULP	Answer question about image	"Given an image and a question about it, can you answer the question according to the image?"	"visual question answering, image question"	$0.02 	Tue May 02 12:58:11 CDT 2017	5	0	0	0	Reviewable	NotReviewed	abstract_v002_train2015_000000011779.png	600	1296000	Tue May 09 12:58:11 CDT 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3YLPJ8OXX81B6PFS3OGEFDA4ELG4XA	3KMS4QQVK3FI6PB4EO2957VD89PKFU	A1FAZ7DF5HKZFB	Submitted	Wed May 17 13:19:42 CDT 2017	Tue May 02 13:19:22 CDT 2017	Tue May 02 13:19:42 CDT 2017						"{""image"":""abstract_v002_train2015_000000011779.png"",""dataset"":""vizwiz"",""question"":""Who looks happier?"",""answer"":"" man"",""rectangle"":null,""goPage2Time"":null,""startDrawTime"":null,""goPage3Time"":""2017-05-02T18:12:51.465Z"",""startInputTime"":""2017-05-02T18:12:57.500Z"",""submitTime"":""2017-05-02T18:13:10.383Z"",""deleteCnt"":3,""editCnt"":1,""keyTypeStream"":[84,72,69,77,65,78],""timeTypeStream"":[""2017-05-02T18:12:57.493Z"",""2017-05-02T18:12:57.743Z"",""2017-05-02T18:12:58.037Z"",""2017-05-02T18:12:58.951Z"",""2017-05-02T18:12:59.196Z"",""2017-05-02T18:12:59.384Z""],""confidence"":""yes""}"	yes	 man
3YLPJ8OXX81B6PFS3OGEFDA4ELG4XA	3WBZ6EY6WWZZDK11Y39O136416FULP	Answer question about image	"Given an image and a question about it, can you answer the question according to the image?"	"visual question answering, image question"	$0.02 	Tue May 02 12:58:11 CDT 2017	5	0	0	0	Reviewable	NotReviewed	abstract_v002_train2015_000000011779.png	600	1296000	Tue May 09 12:58:11 CDT 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3YLPJ8OXX81B6PFS3OGEFDA4ELG4XA	37C0GNLMHGSE9QCJLEDI7ONAV1PD67	A24D98LB6OALQY	Submitted	Wed May 17 13:20:24 CDT 2017	Tue May 02 13:20:03 CDT 2017	Tue May 02 13:20:24 CDT 2017						"{""image"":""abstract_v002_train2015_000000011779.png"",""dataset"":""vizwiz"",""question"":""Who looks happier?"",""answer"":""grandma"",""rectangle"":null,""goPage2Time"":null,""startDrawTime"":null,""goPage3Time"":""2017-05-02T18:20:05.142Z"",""startInputTime"":""2017-05-02T18:20:16.481Z"",""submitTime"":""2017-05-02T18:20:24.172Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[71,82,65,78,68,77,65],""timeTypeStream"":[""2017-05-02T18:20:16.478Z"",""2017-05-02T18:20:16.659Z"",""2017-05-02T18:20:17.084Z"",""2017-05-02T18:20:17.491Z"",""2017-05-02T18:20:17.943Z"",""2017-05-02T18:20:18.422Z"",""2017-05-02T18:20:18.826Z""],""confidence"":""yes""}"	yes	grandma
3GONHBMNHVMGFA4DAA4VYS7F8CYZMW	3WBZ6EY6WWZZDK11Y39O136416FULP	Answer question about image	"Given an image and a question about it, can you answer the question according to the image?"	"visual question answering, image question"	$0.02 	Tue May 02 12:58:11 CDT 2017	5	0	0	0	Reviewable	NotReviewed	abstract_v002_train2015_000000005536.png	600	1296000	Tue May 09 12:58:11 CDT 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3GONHBMNHVMGFA4DAA4VYS7F8CYZMW	3RRCEFRB7N17F6ALOUTXF0FWWP64B5	A2S96ZZ70YFPSK	Submitted	Wed May 17 13:06:16 CDT 2017	Tue May 02 13:06:05 CDT 2017	Tue May 02 13:06:16 CDT 2017						"{""image"":""abstract_v002_train2015_000000005536.png"",""dataset"":""vizwiz"",""question"":""What color is the carpet?"",""answer"":""beige"",""rectangle"":null,""goPage2Time"":null,""startDrawTime"":null,""goPage3Time"":""2017-05-02T18:06:17.714Z"",""startInputTime"":""2017-05-02T18:06:21.272Z"",""submitTime"":""2017-05-02T18:06:26.714Z"",""deleteCnt"":1,""editCnt"":1,""keyTypeStream"":[84,66,69,73,71,69],""timeTypeStream"":[""2017-05-02T18:06:21.267Z"",""2017-05-02T18:06:22.085Z"",""2017-05-02T18:06:22.421Z"",""2017-05-02T18:06:23.189Z"",""2017-05-02T18:06:23.194Z"",""2017-05-02T18:06:23.312Z""],""confidence"":""yes""}"	yes	beige
3GONHBMNHVMGFA4DAA4VYS7F8CYZMW	3WBZ6EY6WWZZDK11Y39O136416FULP	Answer question about image	"Given an image and a question about it, can you answer the question according to the image?"	"visual question answering, image question"	$0.02 	Tue May 02 12:58:11 CDT 2017	5	0	0	0	Reviewable	NotReviewed	abstract_v002_train2015_000000005536.png	600	1296000	Tue May 09 12:58:11 CDT 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3GONHBMNHVMGFA4DAA4VYS7F8CYZMW	3137ONMDKHULYPFPTMXOPXIKPRSEG2	A2YO837C0O1E91	Submitted	Wed May 17 13:06:50 CDT 2017	Tue May 02 13:06:18 CDT 2017	Tue May 02 13:06:50 CDT 2017							maybe	tan
3GONHBMNHVMGFA4DAA4VYS7F8CYZMW	3WBZ6EY6WWZZDK11Y39O136416FULP	Answer question about image	"Given an image and a question about it, can you answer the question according to the image?"	"visual question answering, image question"	$0.02 	Tue May 02 12:58:11 CDT 2017	5	0	0	0	Reviewable	NotReviewed	abstract_v002_train2015_000000005536.png	600	1296000	Tue May 09 12:58:11 CDT 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3GONHBMNHVMGFA4DAA4VYS7F8CYZMW	37UQDCYH6YKJ77QAV9I4JOTDQJCV7M	A3AV8KOZW78IEW	Submitted	Wed May 17 13:11:44 CDT 2017	Tue May 02 13:11:34 CDT 2017	Tue May 02 13:11:44 CDT 2017						"{""image"":""abstract_v002_train2015_000000005536.png"",""dataset"":""vizwiz"",""question"":""What color is the carpet?"",""answer"":""beige"",""rectangle"":null,""goPage2Time"":null,""startDrawTime"":null,""goPage3Time"":""2017-05-02T18:17:40.052Z"",""startInputTime"":""2017-05-02T18:17:44.560Z"",""submitTime"":""2017-05-02T18:17:48.356Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[66,69,73,71,69],""timeTypeStream"":[""2017-05-02T18:17:44.553Z"",""2017-05-02T18:17:44.823Z"",""2017-05-02T18:17:45.084Z"",""2017-05-02T18:17:45.370Z"",""2017-05-02T18:17:45.807Z""],""confidence"":""yes""}"	yes	beige
3GONHBMNHVMGFA4DAA4VYS7F8CYZMW	3WBZ6EY6WWZZDK11Y39O136416FULP	Answer question about image	"Given an image and a question about it, can you answer the question according to the image?"	"visual question answering, image question"	$0.02 	Tue May 02 12:58:11 CDT 2017	5	0	0	0	Reviewable	NotReviewed	abstract_v002_train2015_000000005536.png	600	1296000	Tue May 09 12:58:11 CDT 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3GONHBMNHVMGFA4DAA4VYS7F8CYZMW	3HMIGG0U4MV4BFQYAPXU4NT2JKL8YW	A1FAZ7DF5HKZFB	Submitted	Wed May 17 13:13:43 CDT 2017	Tue May 02 13:13:33 CDT 2017	Tue May 02 13:13:43 CDT 2017						"{""image"":""abstract_v002_train2015_000000005536.png"",""dataset"":""vizwiz"",""question"":""What color is the carpet?"",""answer"":""tan"",""rectangle"":null,""goPage2Time"":null,""startDrawTime"":null,""goPage3Time"":""2017-05-02T18:07:01.807Z"",""startInputTime"":""2017-05-02T18:07:06.077Z"",""submitTime"":""2017-05-02T18:07:10.584Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[84,65,78],""timeTypeStream"":[""2017-05-02T18:07:06.066Z"",""2017-05-02T18:07:06.310Z"",""2017-05-02T18:07:06.778Z""],""confidence"":""yes""}"	yes	tan
3GONHBMNHVMGFA4DAA4VYS7F8CYZMW	3WBZ6EY6WWZZDK11Y39O136416FULP	Answer question about image	"Given an image and a question about it, can you answer the question according to the image?"	"visual question answering, image question"	$0.02 	Tue May 02 12:58:11 CDT 2017	5	0	0	0	Reviewable	NotReviewed	abstract_v002_train2015_000000005536.png	600	1296000	Tue May 09 12:58:11 CDT 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3GONHBMNHVMGFA4DAA4VYS7F8CYZMW	3I0BTBYZAYAMTQLVFLKFB8NK0M9Y0Z	A2S5F81DDMBUE8	Submitted	Wed May 17 13:21:21 CDT 2017	Tue May 02 13:21:01 CDT 2017	Tue May 02 13:21:21 CDT 2017						"{""image"":""abstract_v002_train2015_000000005536.png"",""dataset"":""vizwiz"",""question"":""What color is the carpet?"",""answer"":""taupe"",""rectangle"":null,""goPage2Time"":null,""startDrawTime"":null,""goPage3Time"":""2017-05-02T18:21:05.030Z"",""startInputTime"":""2017-05-02T18:21:15.669Z"",""submitTime"":""2017-05-02T18:21:23.869Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[84,65,85,80,69],""timeTypeStream"":[""2017-05-02T18:21:15.664Z"",""2017-05-02T18:21:15.914Z"",""2017-05-02T18:21:16.045Z"",""2017-05-02T18:21:16.970Z"",""2017-05-02T18:21:17.099Z""],""confidence"":""maybe""}"	maybe	taupe
