"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.vqa"	"Answer.confidence"	"Answer.vqa_answer"
"3I4E7AFQ2KNUSQPT1L2LWCEHJILJTS"	"3D9187VUCM8XNJTVD0CB9NECK2KUIA"	"Answer question about image and give bounding box"	"Given an image and a question about it, can you answer the question and draw a bounding box to locate the evidence for your answer?"	"visual question answering, bounding box, image question"	"$0.02"	"Wed Apr 26 11:45:59 CDT 2017"	"5"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"COCO_train2014_000000078077.jpg"	"600"	"1296000"	"Wed May 03 11:45:59 CDT 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3I4E7AFQ2KNUSQPT1L2LWCEHJILJTS"	"3A0EX8ZRN9DNDDO5D1H4VPJ3RC6YBT"	"A1J0GU26323WVA"	"Submitted"	"Thu May 11 13:02:43 CDT 2017"	"Wed Apr 26 13:02:16 CDT 2017"	"Wed Apr 26 13:02:43 CDT 2017"	""	""	""	""	""	"{""image"":""COCO_train2014_000000078077.jpg"",""dataset"":""real"",""question"":""Is this a modern train?"",""answer"":""no"",""rectangle"":{""startX"":16,""startY"":6.9666595458984375,""w"":538,""h"":353},""goPage2Time"":""2017-04-26T18:02:50.111Z"",""startDrawTime"":""2017-04-26T18:02:53.152Z"",""goPage3Time"":""2017-04-26T18:03:02.130Z"",""startInputTime"":""2017-04-26T18:03:04.906Z"",""submitTime"":""2017-04-26T18:03:06.183Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[],""timeTypeStream"":[],""confidence"":""yes""}"	"yes"	"no"
"3I4E7AFQ2KNUSQPT1L2LWCEHJILJTS"	"3D9187VUCM8XNJTVD0CB9NECK2KUIA"	"Answer question about image and give bounding box"	"Given an image and a question about it, can you answer the question and draw a bounding box to locate the evidence for your answer?"	"visual question answering, bounding box, image question"	"$0.02"	"Wed Apr 26 11:45:59 CDT 2017"	"5"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"COCO_train2014_000000078077.jpg"	"600"	"1296000"	"Wed May 03 11:45:59 CDT 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3I4E7AFQ2KNUSQPT1L2LWCEHJILJTS"	"3E13VNJ1NOK0AFR87M2C3PC6FHL1IB"	"A1C6WBOVHW5N9X"	"Submitted"	"Thu May 11 13:31:02 CDT 2017"	"Wed Apr 26 13:29:44 CDT 2017"	"Wed Apr 26 13:31:02 CDT 2017"	""	""	""	""	""	"{""image"":""COCO_train2014_000000078077.jpg"",""dataset"":""real"",""question"":""Is this a modern train?"",""answer"":""yes"",""rectangle"":{""startX"":17.5,""startY"":6.9666595458984375,""w"":532,""h"":357},""goPage2Time"":""2017-04-26T18:29:46.684Z"",""startDrawTime"":""2017-04-26T18:30:02.644Z"",""goPage3Time"":""2017-04-26T18:30:48.537Z"",""startInputTime"":""2017-04-26T18:30:52.852Z"",""submitTime"":""2017-04-26T18:30:58.903Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[89,69,83],""timeTypeStream"":[""2017-04-26T18:30:52.844Z"",""2017-04-26T18:30:52.935Z"",""2017-04-26T18:30:53.005Z""],""confidence"":""yes""}"	"yes"	"yes"
"3I4E7AFQ2KNUSQPT1L2LWCEHJILJTS"	"3D9187VUCM8XNJTVD0CB9NECK2KUIA"	"Answer question about image and give bounding box"	"Given an image and a question about it, can you answer the question and draw a bounding box to locate the evidence for your answer?"	"visual question answering, bounding box, image question"	"$0.02"	"Wed Apr 26 11:45:59 CDT 2017"	"5"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"COCO_train2014_000000078077.jpg"	"600"	"1296000"	"Wed May 03 11:45:59 CDT 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3I4E7AFQ2KNUSQPT1L2LWCEHJILJTS"	"34QN5IT0T0G7EKUD2HMLCVZI7TA807"	"A2CO3PHGWP142Q"	"Submitted"	"Thu May 11 13:37:10 CDT 2017"	"Wed Apr 26 13:35:51 CDT 2017"	"Wed Apr 26 13:37:10 CDT 2017"	""	""	""	""	""	"{""image"":""COCO_train2014_000000078077.jpg"",""dataset"":""real"",""question"":""Is this a modern train?"",""answer"":""no"",""rectangle"":{""startX"":17.29998779296875,""startY"":1.9749984741210938,""w"":534,""h"":368},""goPage2Time"":""2017-04-26T18:35:56.190Z"",""startDrawTime"":""2017-04-26T18:36:02.402Z"",""goPage3Time"":""2017-04-26T18:36:53.577Z"",""startInputTime"":""2017-04-26T18:36:57.583Z"",""submitTime"":""2017-04-26T18:37:09.877Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[78,79],""timeTypeStream"":[""2017-04-26T18:36:57.576Z"",""2017-04-26T18:36:57.911Z""],""confidence"":""yes""}"	"yes"	"no"
"3I4E7AFQ2KNUSQPT1L2LWCEHJILJTS"	"3D9187VUCM8XNJTVD0CB9NECK2KUIA"	"Answer question about image and give bounding box"	"Given an image and a question about it, can you answer the question and draw a bounding box to locate the evidence for your answer?"	"visual question answering, bounding box, image question"	"$0.02"	"Wed Apr 26 11:45:59 CDT 2017"	"5"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"COCO_train2014_000000078077.jpg"	"600"	"1296000"	"Wed May 03 11:45:59 CDT 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3I4E7AFQ2KNUSQPT1L2LWCEHJILJTS"	"3PQMUDRV7SVBALN6FTNIVOTSWK5IIV"	"A2IUI6M52LN7FN"	"Submitted"	"Thu May 11 15:32:43 CDT 2017"	"Wed Apr 26 15:32:07 CDT 2017"	"Wed Apr 26 15:32:43 CDT 2017"	""	""	""	""	""	"{""image"":""COCO_train2014_000000078077.jpg"",""dataset"":""real"",""question"":""Is this a modern train?"",""answer"":""no"",""rectangle"":{""startX"":217.89999389648438,""startY"":197.96665954589844,""w"":118,""h"":107},""goPage2Time"":""2017-04-26T20:32:16.353Z"",""startDrawTime"":""2017-04-26T20:32:33.883Z"",""goPage3Time"":""2017-04-26T20:32:37.683Z"",""startInputTime"":""2017-04-26T20:32:43.133Z"",""submitTime"":""2017-04-26T20:32:46.132Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[78,79],""timeTypeStream"":[""2017-04-26T20:32:43.130Z"",""2017-04-26T20:32:43.214Z""],""confidence"":""maybe""}"	"maybe"	"no"
"3I4E7AFQ2KNUSQPT1L2LWCEHJILJTS"	"3D9187VUCM8XNJTVD0CB9NECK2KUIA"	"Answer question about image and give bounding box"	"Given an image and a question about it, can you answer the question and draw a bounding box to locate the evidence for your answer?"	"visual question answering, bounding box, image question"	"$0.02"	"Wed Apr 26 11:45:59 CDT 2017"	"5"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"COCO_train2014_000000078077.jpg"	"600"	"1296000"	"Wed May 03 11:45:59 CDT 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3I4E7AFQ2KNUSQPT1L2LWCEHJILJTS"	"30JNVC0ORA9OVO05MJA64EJZNHBHQ8"	"ATR6RB1RULOC0"	"Submitted"	"Thu May 11 16:33:28 CDT 2017"	"Wed Apr 26 16:33:12 CDT 2017"	"Wed Apr 26 16:33:28 CDT 2017"	""	""	""	""	""	"{""image"":""COCO_train2014_000000078077.jpg"",""dataset"":""real"",""question"":""Is this a modern train?"",""answer"":""no"",""rectangle"":{""startX"":17.0555419921875,""startY"":38.5,""w"":509,""h"":322},""goPage2Time"":""2017-04-26T21:33:30.232Z"",""startDrawTime"":""2017-04-26T21:33:34.832Z"",""goPage3Time"":""2017-04-26T21:33:40.950Z"",""startInputTime"":""2017-04-26T21:33:41.344Z"",""submitTime"":""2017-04-26T21:33:43.981Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[78,79],""timeTypeStream"":[""2017-04-26T21:33:41.343Z"",""2017-04-26T21:33:41.444Z""],""confidence"":""yes""}"	"yes"	"no"
"3QHITW7OYOX6ZHUXQBVDY80B9OSAQP"	"3D9187VUCM8XNJTVD0CB9NECK2KUIA"	"Answer question about image and give bounding box"	"Given an image and a question about it, can you answer the question and draw a bounding box to locate the evidence for your answer?"	"visual question answering, bounding box, image question"	"$0.02"	"Wed Apr 26 11:45:59 CDT 2017"	"5"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"COCO_train2014_000000501867.jpg"	"600"	"1296000"	"Wed May 03 11:45:59 CDT 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3QHITW7OYOX6ZHUXQBVDY80B9OSAQP"	"3PDJHANYK65VL6HL7AW8Y928NFHH6R"	"A1J0GU26323WVA"	"Submitted"	"Thu May 11 12:55:01 CDT 2017"	"Wed Apr 26 12:54:47 CDT 2017"	"Wed Apr 26 12:55:01 CDT 2017"	""	""	""	""	""	"{""image"":""COCO_train2014_000000501867.jpg"",""dataset"":""real"",""question"":""Is the bus driver on any kind of antidepressant medication?"",""answer"":""unanswerable"",""rectangle"":{""startX"":122,""startY"":166.96665954589844,""w"":269,""h"":133},""goPage2Time"":""2017-04-26T17:55:12.926Z"",""startDrawTime"":""2017-04-26T17:55:16.684Z"",""goPage3Time"":""2017-04-26T17:55:19.509Z"",""startInputTime"":""2017-04-26T17:55:21.547Z"",""submitTime"":""2017-04-26T17:55:24.363Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[85,78],""timeTypeStream"":[""2017-04-26T17:55:21.543Z"",""2017-04-26T17:55:21.974Z""],""confidence"":""yes""}"	"yes"	"unanswerable"
"3QHITW7OYOX6ZHUXQBVDY80B9OSAQP"	"3D9187VUCM8XNJTVD0CB9NECK2KUIA"	"Answer question about image and give bounding box"	"Given an image and a question about it, can you answer the question and draw a bounding box to locate the evidence for your answer?"	"visual question answering, bounding box, image question"	"$0.02"	"Wed Apr 26 11:45:59 CDT 2017"	"5"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"COCO_train2014_000000501867.jpg"	"600"	"1296000"	"Wed May 03 11:45:59 CDT 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3QHITW7OYOX6ZHUXQBVDY80B9OSAQP"	"39JEC7537VQPJOL6MQQFZALRRG4VCO"	"A2T204BCG3GLI"	"Submitted"	"Thu May 11 13:02:36 CDT 2017"	"Wed Apr 26 13:01:53 CDT 2017"	"Wed Apr 26 13:02:36 CDT 2017"	""	""	""	""	""	"{""image"":""COCO_train2014_000000501867.jpg"",""dataset"":""real"",""question"":""Is the bus driver on any kind of antidepressant medication?"",""answer"":""Unanswerable"",""rectangle"":{""startX"":314,""startY"":225.171875,""w"":51,""h"":46},""goPage2Time"":""2017-04-26T18:01:53.427Z"",""startDrawTime"":""2017-04-26T18:02:00.309Z"",""goPage3Time"":""2017-04-26T18:02:03.097Z"",""startInputTime"":""2017-04-26T18:02:08.704Z"",""submitTime"":""2017-04-26T18:02:33.683Z"",""deleteCnt"":3,""editCnt"":2,""keyTypeStream"":[85,78,89,85,78,65,78,83,87,69,82,65,66,76,69],""timeTypeStream"":[""2017-04-26T18:02:08.688Z"",""2017-04-26T18:02:09.160Z"",""2017-04-26T18:02:11.500Z"",""2017-04-26T18:02:13.038Z"",""2017-04-26T18:02:13.854Z"",""2017-04-26T18:02:14.488Z"",""2017-04-26T18:02:14.818Z"",""2017-04-26T18:02:15.251Z"",""2017-04-26T18:02:17.537Z"",""2017-04-26T18:02:17.914Z"",""2017-04-26T18:02:18.157Z"",""2017-04-26T18:02:18.438Z"",""2017-04-26T18:02:18.705Z"",""2017-04-26T18:02:18.910Z"",""2017-04-26T18:02:19.204Z""],""confidence"":""maybe""}"	"maybe"	"Unanswerable"
"3QHITW7OYOX6ZHUXQBVDY80B9OSAQP"	"3D9187VUCM8XNJTVD0CB9NECK2KUIA"	"Answer question about image and give bounding box"	"Given an image and a question about it, can you answer the question and draw a bounding box to locate the evidence for your answer?"	"visual question answering, bounding box, image question"	"$0.02"	"Wed Apr 26 11:45:59 CDT 2017"	"5"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"COCO_train2014_000000501867.jpg"	"600"	"1296000"	"Wed May 03 11:45:59 CDT 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3QHITW7OYOX6ZHUXQBVDY80B9OSAQP"	"358UUM7WR0SRE09TMPDUIR4A50G7RW"	"ATR6RB1RULOC0"	"Submitted"	"Thu May 11 16:11:26 CDT 2017"	"Wed Apr 26 16:11:10 CDT 2017"	"Wed Apr 26 16:11:26 CDT 2017"	""	""	""	""	""	"{""image"":""COCO_train2014_000000501867.jpg"",""dataset"":""real"",""question"":""Is the bus driver on any kind of antidepressant medication?"",""answer"":""no"",""rectangle"":{""startX"":114.0555419921875,""startY"":162.7222137451172,""w"":269,""h"":142},""goPage2Time"":""2017-04-26T21:11:27.052Z"",""startDrawTime"":""2017-04-26T21:11:32.957Z"",""goPage3Time"":""2017-04-26T21:11:35.931Z"",""startInputTime"":""2017-04-26T21:11:37.447Z"",""submitTime"":""2017-04-26T21:11:41.965Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[78,79],""timeTypeStream"":[""2017-04-26T21:11:37.446Z"",""2017-04-26T21:11:37.548Z""],""confidence"":""no""}"	"no"	"no"
"3QHITW7OYOX6ZHUXQBVDY80B9OSAQP"	"3D9187VUCM8XNJTVD0CB9NECK2KUIA"	"Answer question about image and give bounding box"	"Given an image and a question about it, can you answer the question and draw a bounding box to locate the evidence for your answer?"	"visual question answering, bounding box, image question"	"$0.02"	"Wed Apr 26 11:45:59 CDT 2017"	"5"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"COCO_train2014_000000501867.jpg"	"600"	"1296000"	"Wed May 03 11:45:59 CDT 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3QHITW7OYOX6ZHUXQBVDY80B9OSAQP"	"3M1CVSFP61U9L1SRGD0ENSWVAMTQAE"	"A16TPV9T2VG2CJ"	"Submitted"	"Thu May 11 18:57:37 CDT 2017"	"Wed Apr 26 18:57:21 CDT 2017"	"Wed Apr 26 18:57:37 CDT 2017"	""	""	""	""	""	"{""image"":""COCO_train2014_000000501867.jpg"",""dataset"":""real"",""question"":""Is the bus driver on any kind of antidepressant medication?"",""answer"":""no"",""rectangle"":{""startX"":278.1700134277344,""startY"":225.97000122070312,""w"":97,""h"":60},""goPage2Time"":""2017-04-26T23:56:37.070Z"",""startDrawTime"":""2017-04-26T23:56:43.028Z"",""goPage3Time"":""2017-04-26T23:56:46.956Z"",""startInputTime"":""2017-04-26T23:56:48.989Z"",""submitTime"":""2017-04-26T23:56:51.780Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[78,79],""timeTypeStream"":[""2017-04-26T23:56:48.987Z"",""2017-04-26T23:56:49.410Z""],""confidence"":""maybe""}"	"maybe"	"no"
"3QHITW7OYOX6ZHUXQBVDY80B9OSAQP"	"3D9187VUCM8XNJTVD0CB9NECK2KUIA"	"Answer question about image and give bounding box"	"Given an image and a question about it, can you answer the question and draw a bounding box to locate the evidence for your answer?"	"visual question answering, bounding box, image question"	"$0.02"	"Wed Apr 26 11:45:59 CDT 2017"	"5"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"COCO_train2014_000000501867.jpg"	"600"	"1296000"	"Wed May 03 11:45:59 CDT 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3QHITW7OYOX6ZHUXQBVDY80B9OSAQP"	"3HWRJOOET6ROOUOGOMR5EB1NDPGESQ"	"A3KPQ7L5FS8SD6"	"Submitted"	"Thu May 11 20:03:10 CDT 2017"	"Wed Apr 26 20:02:45 CDT 2017"	"Wed Apr 26 20:03:10 CDT 2017"	""	""	""	""	""	"{""image"":""COCO_train2014_000000501867.jpg"",""dataset"":""real"",""question"":""Is the bus driver on any kind of antidepressant medication?"",""answer"":""Unanswerable"",""rectangle"":{""startX"":287.5,""startY"":226.171875,""w"":79,""h"":58},""goPage2Time"":""2017-04-27T01:02:48.743Z"",""startDrawTime"":""2017-04-27T01:02:55.286Z"",""goPage3Time"":""2017-04-27T01:02:58.141Z"",""startInputTime"":""2017-04-27T01:03:04.189Z"",""submitTime"":""2017-04-27T01:03:10.486Z"",""deleteCnt"":0,""editCnt"":0,""keyTypeStream"":[85,78,65,78,83,87,69,82,65,66,76,69],""timeTypeStream"":[""2017-04-27T01:03:04.187Z"",""2017-04-27T01:03:04.467Z"",""2017-04-27T01:03:04.648Z"",""2017-04-27T01:03:04.871Z"",""2017-04-27T01:03:05.043Z"",""2017-04-27T01:03:05.277Z"",""2017-04-27T01:03:05.462Z"",""2017-04-27T01:03:05.652Z"",""2017-04-27T01:03:05.873Z"",""2017-04-27T01:03:06.068Z"",""2017-04-27T01:03:06.178Z"",""2017-04-27T01:03:06.370Z""],""confidence"":""no""}"	"no"	"Unanswerable"
