,exact,entropy,oneDisagree,divCount,divAns
abstract_v002_train2015_000000000032.png,0,0.3109175070825711,1,2,"{'2': 4, '1': 1}"
abstract_v002_train2015_000000000425.png,0,1.0,0,5,"{'ice cream': 1, 'plate': 1, 'cupcake': 1, 'dessert': 1, 'pastry': 1}"
abstract_v002_train2015_000000000512.png,1,0.0,1,1,{'blue': 5}
abstract_v002_train2015_000000001203.png,1,0.0,1,1,{'baseball': 5}
abstract_v002_train2015_000000001329.png,1,0.0,1,1,{'2': 5}
abstract_v002_train2015_000000001527.png,0,0.5904362833084088,0,3,"{'tan': 1, 'brown': 3, 'grey': 1}"
abstract_v002_train2015_000000001628.png,0,0.8277293767706427,0,4,"{'sitting': 2, 'having picnic': 1, 'picnicking': 1, 'laughing': 1}"
abstract_v002_train2015_000000001756.png,1,0.0,1,1,{'yes': 5}
abstract_v002_train2015_000000002125.png,1,0.0,1,1,{'no': 5}
abstract_v002_train2015_000000002446.png,0,0.41816566007905165,0,2,"{'yes': 3, 'no': 2}"
abstract_v002_train2015_000000002469.png,1,0.0,1,1,{'yes': 5}
abstract_v002_train2015_000000002551.png,1,0.0,1,1,{'yes': 5}
abstract_v002_train2015_000000002675.png,1,0.0,1,1,{'1': 5}
abstract_v002_train2015_000000002680.png,1,0.0,1,1,{'yes': 5}
abstract_v002_train2015_000000002693.png,1,0.0,1,1,{'2': 5}
abstract_v002_train2015_000000002750.png,1,0.0,1,1,{'2': 5}
abstract_v002_train2015_000000002851.png,1,0.0,1,1,{'yes': 5}
abstract_v002_train2015_000000002933.png,0,0.8277293767706427,0,4,"{'sandbox': 2, 'in sand box': 1, 'sand box': 1, 'in sandbox': 1}"
abstract_v002_train2015_000000002984.png,0,0.3109175070825711,1,2,"{'no': 1, 'yes': 4}"
abstract_v002_train2015_000000003288.png,0,0.3109175070825711,1,2,"{'yes': 4, 'no': 1}"
abstract_v002_train2015_000000003293.png,0,0.3109175070825711,1,2,"{'no': 4, 'yes': 1}"
